longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NBR,ETH_CanopyHeight,Elevation,Slope,Aspect,Class
111.70060976196405,-8.046973567850056,772.0,1086.0,1334.0,3121.0,3144.0,2140.0,0.40112233,0.8372376311844077,0.6016159802491303,0.18646646,19,161,18,93,Secondary_Forest
111.70123858266292,-8.05362110095254,1200.0,1330.0,1076.0,2871.0,3005.0,1935.0,0.45477578,13.68140243902439,0.682077264091197,0.19475655,23,143,12,176,Secondary_Forest
111.69665717471392,-8.051554975799066,758.0,906.0,644.0,2743.0,2339.0,1456.0,0.6197225,5.6852654387865655,0.9294464944649447,0.30650154,26,145,10,257,Secondary_Forest
111.69629784860027,-8.05128548121383,804.0,874.0,760.0,2589.0,2546.0,1398.0,0.54613316,4.082589285714286,0.8190774742498881,0.29872084,25,139,9,258,Secondary_Forest
111.70375386545847,-8.051644807327477,2024.0,1854.0,1744.0,2874.0,2597.0,1993.0,0.24469468,-1.534492123845736,0.36700227346541087,0.181015,20,125,8,23,Secondary_Forest
111.70267588711752,-8.051734638855889,1152.0,1240.0,1218.0,2736.0,3126.0,2065.0,0.38391504,2.701067615658363,0.5757997218358832,0.13976255,15,140,13,78,Secondary_Forest
111.69539953331615,-8.04993800828765,670.0,672.0,554.0,3200.0,2250.0,1210.0,0.7048482,4.41,1.0571314422692768,0.45124716,26,147,11,198,Secondary_Forest
111.69513003873091,-8.048860029946706,1094.0,984.0,714.0,2831.0,2232.0,1171.0,0.5971791,-4.8599632690541785,0.8956423635594415,0.4147926,25,167,19,238,Secondary_Forest
111.69477071261727,-8.04993800828765,714.0,916.0,1048.0,2609.0,2762.0,1702.0,0.4268526,1.1014676827547276,0.6401913875598086,0.21039201,22,143,7,204,Secondary_Forest
111.69530970178774,-8.050297334401298,648.0,692.0,469.0,3133.0,2176.0,1092.0,0.7395891,6.121323529411765,1.109229701596114,0.48307693,25,142,5,183,Secondary_Forest
111.69378256580474,-8.049129524531942,628.0,812.0,583.0,3292.0,2365.0,1239.0,0.6990968,3.2544449783757807,1.048509869694233,0.45310086,25,146,3,218,Secondary_Forest
111.6935130712195,-8.049578682174003,530.0,777.0,798.0,2507.0,2269.0,1277.0,0.5170953,1.2865100873230957,0.7755256390863712,0.32505286,26,139,9,214,Secondary_Forest
111.69297408204903,-8.04903969300353,619.0,696.0,558.0,2403.0,2344.0,1272.0,0.6231003,4.157278053177107,0.934492655748776,0.3077551,27,149,17,160,Secondary_Forest
